,The Night Circus (Clare),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,North Woods (Katherine),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,Bill,,,,,,,,,,,,,,,,
Plot,10,10,10,10,8,,,7,9,,,,,,,,,,,,,,,,
Quality of writing,10,10,10,10,9,,,8,10,,,,,,,,,,,,,,,,
Character development,9,9,10,10,8,,,8,9,,,,,,,,,,,,,,,,
Overall experience / enjoyment,10,10,10,10,8,,,7,10,,,,,,,,,,,,,,,,
Total,9.75,9.75,10,10,8.25,#DIV/0!,#DIV/0!,7.5,9.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,This Is How You Lose The Time War (Mike),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,Bill,Charlotte,,,,,,,,,,,,,,,
Plot,6,5,2,3,4,3,,3,5,,,,,,,,,,,,,,,,
Quality of writing,8,8,4,5,4,5,,5,7,,,,,,,,,,,,,,,,
Character development,4,4,3,5,3,3,,5,2,,,,,,,,,,,,,,,,
Overall experience / enjoyment,8,8,2,4,2,3,,3,5,,,,,,,,,,,,,,,,
Total,6.5,6.25,2.75,4.25,3.25,3.5,#DIV/0!,4,4.75,#DIV/0!,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,The House of Doors (Nia),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,Bill,Charlotte,Dave,,,,,,,,,,,,,,
Plot,5,6,4,5,7,7,,7,6,7,3,,,,,,,,,,,,,,
Quality of writing,8,9,7,8,8,8,,9,8,8,8,,,,,,,,,,,,,,
Character development,6,6,5,5,8,6,,9,4,7,6,,,,,,,,,,,,,,
Overall experience / enjoyment,5,8,5,5,8,8,,8,6,8,6,,,,,,,,,,,,,,
Total,6,7.25,5.25,5.75,7.75,7.25,#DIV/0!,8.25,6,7.5,5.75,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Harlem Shuffle (Bill),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,Bill,Charlotte,Dave,,,,,,,,,,,,,,
Plot,7,7,,5,,5,,6,8,,,,,,,,,,,,,,,,
Quality of writing,5,8,,6,,4,,5,7,,,,,,,,,,,,,,,,
Character development,7,6,,5,,4,,4,7,,,,,,,,,,,,,,,,
Overall experience / enjoyment,5,8,,4,,3,,6,7,,,,,,,,,,,,,,,,
Total,6,7.25,#DIV/0!,5,#DIV/0!,4,#DIV/0!,5.25,7.25,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Glorious Exploits (Charlotte),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,Bill,Charlotte,Dave,,,,,,,,,,,,,,
Plot,6,6,,8,7,9,,6,,,,,,,,,,,,,,,,,
Quality of writing,8,8,,8,8,9,,8,,,,,,,,,,,,,,,,,
Character development,7,9,,8,8,9,,8,,,,,,,,,,,,,,,,,
Overall experience / enjoyment,7,7,,8,8,9,,7,,,,,,,,,,,,,,,,,
Total,7,7.5,#DIV/0!,8,7.75,9,#DIV/0!,7.25,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Demon Copperhead (Clare),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,Bill,Charlotte,Dave,,,,,,,,,,,,,,
Plot,8,8,,9,9,9,,9,,,,,,,,,,,,,,,,,
Quality of writing,9,10,,9,9,9,,9,,,,,,,,,,,,,,,,,
Character development,10,9,,9,9,9,,9,,,,,,,,,,,,,,,,,
Overall experience / enjoyment,8,9,,9,9,9,,8,,,,,,,,,,,,,,,,,
Total,8.75,9,#DIV/0!,9,9,9,#DIV/0!,8.75,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Babel (Dunc),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,Bill,Charlotte,Dave,,,,,,,,,,,,,,
Plot,9,9,,9,9,8,,8,,,,,,,,,,,,,,,,,
Quality of writing,8,9,,8,9,9,,7,,,,,,,,,,,,,,,,,
Character development,9,9,,9,9,8,,9,,,,,,,,,,,,,,,,,
Overall experience / enjoyment,9,9,,8,9,8,,7,,,,,,,,,,,,,,,,,
Total,8.75,9,#DIV/0!,8.5,9,8.25,#DIV/0!,7.75,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,The Accidental Soldier (Freddie),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,Bill,Charlotte,Dave,Tim,,,,,,,,,,,,,
Plot,4,6,,6,6,6,,7,,,,,,,,,,,,,,,,,
Quality of writing,6,8,,6,6,7,,8,,,,,,,,,,,,,,,,,
Character development,6,6,,6,7,7,,8,,,,,,,,,,,,,,,,,
Overall experience / enjoyment,3,7,,4,6,7,,9,,,,,,,,,,,,,,,,,
Total,4.75,6.75,#DIV/0!,5.5,6.25,6.75,#DIV/0!,8,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Shuggie Bain (Gareth),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,Bill,Charlotte,Dave,,,,,,,,,,,,,,
Plot,6.5,8,,8,8,7,,6,,,,,,,,,,,,,,,,,
Quality of writing,7,7,,8,8,8,,8,,,,,,,,,,,,,,,,,
Character development,8,8,,8,8,8,,8,,,,,,,,,,,,,,,,,
Overall experience / enjoyment,7,7.5,,8,8,7,,7,,,,,,,,,,,,,,,,,
Total,7.125,7.625,#DIV/0!,8,8,7.5,#DIV/0!,7.25,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Persepolis (Jen),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,Bill,Charlotte,Dave,,,,,,,,,,,,,,
Plot,8,8,,8,7,8,,7,,,,,,,,,,,,,,,,,
Quality of writing,9,8,,8,8,9,,8,,,,,,,,,,,,,,,,,
Character development,7,8,,8,8,7,,7,,,,,,,,,,,,,,,,,
Overall experience / enjoyment,8.5,8.5,,8,7,8,,9,,,,,,,,,,,,,,,,,
Total,8.125,8.125,#DIV/0!,8,7.5,8,#DIV/0!,7.75,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,The Shipping News (Kath),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,Bill,Charlotte,Dave,,,,,,,,,,,,,,
Plot,3,5,,5,,2,,4,7,,,,,,,,,,,,,,,,
Quality of writing,5,6,,5,,5,,7,8,,,,,,,,,,,,,,,,
Character development,5,6,,6,,2,,3,6,,,,,,,,,,,,,,,,
Overall experience / enjoyment,4,5,,4,,3,,4,7,,,,,,,,,,,,,,,,
Total,4.25,5.5,#DIV/0!,5,#DIV/0!,3,#DIV/0!,4.5,7,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Strange Pictures (Mike),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,Bill,Charlotte,Dave,,,,,,,,,,,,,,
Plot,7,8,,8,7,8,,5,5,,,,,,,,,,,,,,,,
Quality of writing,6,6,,7,6,7,,5,4,,,,,,,,,,,,,,,,
Character development,7,7,,7,7,7,,6,4,,,,,,,,,,,,,,,,
Overall experience / enjoyment,8,7,,8,8,8,,8,5,,,,,,,,,,,,,,,,
Total,7,7,#DIV/0!,7.5,7,7.5,#DIV/0!,6,4.5,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,The Museum of Modern Love (Nia),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,Bill,Charlotte,Dave,,,,,,,,,,,,,,
Plot,7,7,,5,7,7,,5,5,,,,,,,,,,,,,,,,
Quality of writing,9,9,,6,9,9,,5,6,,,,,,,,,,,,,,,,
Character development,8,8,,4,7,7,,4,6,,,,,,,,,,,,,,,,
Overall experience / enjoyment,10,9.5,,4,8,8,,5,5,,,,,,,,,,,,,,,,
Total,8.5,8.375,#DIV/0!,4.75,7.75,7.75,#DIV/0!,4.75,5.5,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Not Even The Dead (Bill),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,Bill,Charlotte,Dave,,,,,,,,,,,,,,
Plot,8,,,4,,,,6,7,,,,,,,,,,,,,,,,
Quality of writing,7,,,6,,,,8,8,,,,,,,,,,,,,,,,
Character development,7,,,4,,,,7,7,,,,,,,,,,,,,,,,
Overall experience / enjoyment,6,,,3,,,,5,7,,,,,,,,,,,,,,,,
Total,7,#DIV/0!,#DIV/0!,4.25,#DIV/0!,#DIV/0!,#DIV/0!,6.5,7.25,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,TBC (Charlotte?),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,Bill,Charlotte,Dave,,,,,,,,,,,,,,
Plot,,,,,,,,,,,,,,,,,,,,,,,,,
Quality of writing,,,,,,,,,,,,,,,,,,,,,,,,,
Character development,,,,,,,,,,,,,,,,,,,,,,,,,
Overall experience / enjoyment,,,,,,,,,,,,,,,,,,,,,,,,,
